"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","GP","MIN","TO"
"Dillon Brooks","MEM","SG,SF ","10.0","3.0","1.4","0.2","0.8",".446",".751","1.1","80","22.3","1.4"
"Luke Kennard","DET","SG","10.0","3.4","2.2","0.3","0.8",".450",".862","1.5","79","27.1","1.3"
"Patty Mills","SAS","PG","9.9","2.1","3.1","0.1","0.9",".408",".860","1.9","81","21.7","1.3"
"Paul Zipser","FA","SF,PF,SG","9.8","2.8","1.2","0.4","1.0",".426",".774","1.5","61","22.7","1.0"
"Quincy Acy","FA","SF,PF","9.7","3.1","4.3","0.4","1.3",".410",".747","1.1","79","27.1","2.3"
"Zach Randolph","DAL","PF,C ","9.7","4.9","1.3","0.2","0.4",".466",".758","0.4","78","25.8","1.1"
"JaMychal Green","LAC","PF,C","9.6","7.8","1.2","0.4","0.6",".481",".768","0.8","79","27.1","1.4"
"Joe Harris","BKN","SG,SF","9.6","3.1","1.4","0.2","0.4",".478",".798","1.7","75","21.8","1.1"
"Gerald Green","HOU","SG,SF","9.5","2.7","0.6","0.3","0.5",".410",".839","1.8","75","21.1","0.7"
"Al-Farouq Aminu","POR","SF,PF","9.5","7.8","1.3","0.6","1.1",".419",".715","1.4","79","28.3","1.7"
"Miles Bridges","CHA","SF","9.4","5.0","1.4","0.8","0.8",".467",".755","0.4","80","23.6","1.0"
"Justise Winslow","MIA","SF,PF,SG","9.4","5.5","2.6","0.5","1.1",".418",".642","0.7","77","26.9","1.4"
"Lonzo Ball","LAL","PG ","9.3","6.3","6.7","0.9","1.6",".388",".518","1.8","77","33.8","2.3"
"Marcus Morris","BOS","SF,PF","9.3","3.4","1.2","0.2","0.5",".429",".784","1.1","78","22.6","0.8"
"Dion Waiters","MIA","SG,SF","9.2","1.9","2.5","0.2","0.5",".416",".675","1.1","71","27.2","1.4"
"Marcin Gortat","LAC","C","9.2","8.9","1.6","0.9","0.5",".539",".665","0.0","82","25.1","1.4"
"Michael Kidd-Gilchrist","CHA","SF","9.2","5.6","1.2","0.7","0.9",".482",".734","0.3","79","25.2","0.8"
"Trevor Ariza","WAS","SG,SF","9.1","4.2","1.9","0.2","1.3",".406",".794","1.7","79","25.6","0.8"
"Khem Birch","ORL","PF,C","9.1","5.3","1.2","1.6","1.5",".411",".774","1.1","65","24.9","1.8"
"Terrence Ross","ORL","SG,SF","9.0","2.5","1.2","0.4","0.9",".417",".790","1.5","72","22.7","0.9"
"C.J. Miles","MEM","SG,SF","8.9","2.0","0.6","0.2","0.4",".406",".858","2.0","75","17.8","0.5"
"Pau Gasol","SAS","PF,C","8.9","7.3","2.2","0.7","0.5",".468",".788","0.6","77","22.8","1.2"
"Ish Smith","DET","PG","8.9","2.5","3.8","0.3","0.7",".459",".702","0.4","82","17.2","1.2"
"Mario Hezonja","NYK","SG,SF","8.9","3.5","1.5","0.3","0.9",".424",".825","1.1","78","29.1","1.2"
"Robin Lopez","CHI","C","8.9","5.0","1.2","1.0","0.2",".512",".755","0.1","79","22.1","1.3"
"Greg Monroe","BKN","PF,C","8.9","5.4","1.9","0.5","0.8",".546",".747","0.0","79","19.8","1.4"
